"original","standardized","status"
"RIKEN P-VS1 ID-19454 from Mouse_AdrenalGlands_fads2KO_N_Ctr",NA,"Skipped"
"DGCC 9:0_26:7","DGCC(9:0/26:7)","Modified"
"PC 38:4","PC(38:4)","Modified"
"TAG 54:4","TG(54:4)","Modified"
"LDGCC 30:0","LDGCC(30:0)","Modified"
"PE O-23:0_28:1","PEO-(PEO-23:0/28:1)","Modified"
"PE 40:5","PE(40:5)","Modified"
"TAG 54:3","TG(54:3)","Modified"
"CAR 16:1","CAR(16:1)","Modified"
"SPB 19:0","SPB(19:0)","Modified"
"RIKEN P-VS1 ID-16855 from Mouse_Plasma_ApoEKO_N_F1EPA",NA,"Skipped"
"TAG 18:2_18:2_19:1","TG(18:2/18:2/19:1)","Modified"
"TAG 54:4","TG(54:4)","Modified"
"SHexCer 37:1","SHexCer37:1","Modified"
"PC 36:1","PC(36:1)","Modified"
"TAG 56:5","TG(56:5)","Modified"
"TAG 58:3","TG(58:3)","Modified"
"PE 36:4","PE(36:4)","Modified"
"PC O-34:4","PCO-(PCO-34:4)","Modified"
"DGDG 7:0_18:0","DGDG(7:0/18:0)","Modified"
"PC 15:0_16:1","PC(15:0/16:1)","Modified"
"PC 37:7","PC(37:7)","Modified"
"SM 38:5","SM(38:5)","Modified"
"PC 32:1","PC(32:1)","Modified"
"TAG O-14:1_18:4_18:4","TG(O-14:1/18:4/18:4)","Modified"
"CE 20:4","CE(20:4)","Modified"
"PC 42:8","PC(42:8)","Modified"
"SM d40:1","SM(d40:1)","Modified"
"PC 30:0","PC(30:0)","Modified"
"TAG 18:2/18:3/18:3 +[M+Na]+",NA,"Skipped"
"TAG 56:5","TG(56:5)","Modified"
"PC 36:3","PC(36:3)","Modified"
"PC O-27:2","PCO-(PCO-27:2)","Modified"
"PC 38:5e","PC(38:5e)","Modified"
"DGDG 3:0_24:0","DGDG(3:0/24:0)","Modified"
"SM 47:8","SM(47:8)","Modified"
"TAG O-54:2","TGO-(TGO-54:2)","Modified"
"PC 40:6","PC(40:6)","Modified"
"DG 14:0_44:6","DG(14:0/44:6)","Modified"
"PC 17:1/18:2","PC(17:1/18:2)","Modified"
"SM 36:0","SM(36:0)","Modified"
"TAG O-52:1","TGO-(TGO-52:1)","Modified"
"TAG 56:1","TG(56:1)","Modified"
"TAG 55:1","TG(55:1)","Modified"
"PC 34:2","PC(34:2)","Modified"
"TAG 16:4_21:0_24:4","TG(16:4/21:0/24:4)","Modified"
"PC 40:4","PC(40:4)","Modified"
"Cer 42:5","Cer42:5","Modified"
"PI 34:1","PI(34:1)","Modified"
"PE 8:0_14:1","PE(8:0/14:1)","Modified"
"BMP 40:8","BMP(40:8)","Modified"
"SM 30:3","SM(30:3)","Modified"
"CAR 14:1","CAR(14:1)","Modified"
"TAG 20:1_22:4_22:6","TG(20:1/22:4/22:6)","Modified"
"SQDG 17:0_18:5","SQDG(17:0/18:5)","Modified"
"PC O-36:4","PCO-(PCO-36:4)","Modified"
"TAG 16:0_17:1_20:5","TG(16:0/17:1/20:5)","Modified"
"PI 32:1","PI(32:1)","Modified"
"TAG O-8:0_16:4_20:5","TG(O-8:0/16:4/20:5)","Modified"
"PC O-37:4","PCO-(PCO-37:4)","Modified"
"PC O-40:7","PCO-(PCO-40:7)","Modified"
"TAG 16:1_16:1_16:3","TG(16:1/16:1/16:3)","Modified"
"PC 18:0/20:3","PC(18:0/20:3)","Modified"
"TAG 62:12","TG(62:12)","Modified"
"PC 44:9","PC(44:9)","Modified"
"PC 15:0/18:2","PC(15:0/18:2)","Modified"
"PC 34:1","PC(34:1)","Modified"
"PC O-42:10","PCO-(PCO-42:10)","Modified"
"SM 34:2","SM(34:2)","Modified"
"TAG O-20:0_14:0_18:4","TG(O-20:0/14:0/18:4)","Modified"
"RIKEN P-VS1 ID-7192 from Mouse_AdrenalGlands_WT_N_Ctr",NA,"Skipped"
"PS 36:2","PS(36:2)","Modified"
"DG 20:4_22:5","DG(20:4/22:5)","Modified"
"TAG 58:7","TG(58:7)","Modified"
"BMP 14:1_24:4","BMP(14:1/24:4)","Modified"
"TAG 52:2","TG(52:2)","Modified"
"CE 18:5","CE(18:5)","Modified"
"PC 30:0","PC(30:0)","Modified"
"PC 40:5","PC(40:5)","Modified"
"SM 36:2","SM(36:2)","Modified"
"LDGTS 10:0","LDGTS(10:0)","Modified"
"DG 36:1","DG(36:1)","Modified"
"SM d40:2","SM(d40:2)","Modified"
"PC O-39:7","PCO-(PCO-39:7)","Modified"
"maybe CE 20:5",NA,"Skipped"
"DGDG 34:2","DGDG(34:2)","Modified"
"TAG 16:1_18:1_24:0","TG(16:1/18:1/24:0)","Modified"
"CE 17:0","CE(17:0)","Modified"
"PE(O-18:0/16:1(9Z))","PE(O-18:0/16:1(9Z))","No Change"
"PC O-36:7","PCO-(PCO-36:7)","Modified"
"PC O-32:4","PCO-(PCO-32:4)","Modified"
"PC 42:7","PC(42:7)","Modified"
"TAG 19:1_20:5_24:4","TG(19:1/20:5/24:4)","Modified"
"DG 24:4_20:5","DG(24:4/20:5)","Modified"
"TAG 11:0_21:1_23:0","TG(11:0/21:1/23:0)","Modified"
"TAG 20:4_22:6_24:6","TG(20:4/22:6/24:6)","Modified"
"TAG 54:7","TG(54:7)","Modified"
"PE 32:2e","PE(32:2e)","Modified"
"TAG 57:3","TG(57:3)","Modified"
"TAG 18:5_21:0_24:4","TG(18:5/21:0/24:4)","Modified"
"PC O-40:6","PCO-(PCO-40:6)","Modified"
"TAG 52:5","TG(52:5)","Modified"
"PC 38:5","PC(38:5)","Modified"
